,rf_approx_sol,rf_approx_sol_unconstr,rf_approx_risk,rf_approx_risk_unconstr,rf_random,rf_rf,grf
0,0.13609773408029446,0.15079021539526716,0.11876149422627577,0.11694602825437826,0.10284549638000628,0.14867812849630596,0.11595331680546733
1,0.13643752619126184,0.09649616052617162,0.13330959833221714,0.11970660537757684,0.08724920135179577,0.11821783639441483,0.11947232539848128
2,0.09290406182834063,0.09305352985143253,0.09687185575450095,0.0978083814967909,0.07438970624367838,0.09027451752632688,0.09830622007664652
3,0.08946689391194262,0.0943790976272143,0.09182713029288475,0.09403101015038055,0.11319733230931192,0.09186452900768648,0.09371769010807725
4,0.09176851813454812,0.09274683469003948,0.09579464568472618,0.09607684804284194,0.088560765988745,0.09158909724338062,0.09648281419181476
5,0.0886090407483402,0.09527779785599487,0.08961051419844748,0.09325044504506884,0.09663040382508614,0.09096751547161924,0.09333044396102838
6,0.08945527835373818,0.09395671713554851,0.09145073582241167,0.09323807847188448,0.07290804361075018,0.0904240843451098,0.0933762561199792
7,0.08970181137943603,0.09504211207557992,0.0921305079962646,0.09556415242701048,0.09851130355955126,0.09279144147632744,0.09546671224144568
8,0.09341268235065682,0.09456020032331444,0.09593909239266499,0.09693863140661381,0.167458978614625,0.09300609298000982,0.0973063679891608
9,0.09214645302145268,0.09369733451944295,0.0943044252996089,0.09643981932745312,0.09824876811644816,0.09218675705881657,0.09658785310789846
