Method,p,freq
"StochOptForest
(apx-soln)",1,0.23663385918599145
"StochOptForest
(apx-soln)",2,0.1262997567085451
"StochOptForest
(apx-soln)",3,0.07791925602640702
"StochOptForest
(apx-soln)",4,0.07769282681743239
"StochOptForest
(apx-soln)",5,0.08113828902301615
"StochOptForest
(apx-soln)",6,0.0806953474209536
"StochOptForest
(apx-soln)",7,0.08102196280087386
"StochOptForest
(apx-soln)",8,0.07771413306626371
"StochOptForest
(apx-soln)",9,0.08097209934229173
"StochOptForest
(apx-soln)",10,0.07991246960822321
"StochOptForest
(apx-risk)",1,0.22374253472272354
"StochOptForest
(apx-risk)",2,0.10909307073102957
"StochOptForest
(apx-risk)",3,0.08166454071465018
"StochOptForest
(apx-risk)",4,0.08484455255102795
"StochOptForest
(apx-risk)",5,0.08381093431933583
"StochOptForest
(apx-risk)",6,0.08524660152935798
"StochOptForest
(apx-risk)",7,0.08158559994379509
"StochOptForest
(apx-risk)",8,0.08313891260306452
"StochOptForest
(apx-risk)",9,0.08278475837028335
"StochOptForest
(apx-risk)",10,0.0840884945147343
RandForest,1,0.18977236392695807
RandForest,2,0.18911362308098986
RandForest,3,0.07589339713745286
RandForest,4,0.07615980521204559
RandForest,5,0.0767848762302172
RandForest,6,0.07624711199664415
RandForest,7,0.07959259896062247
RandForest,8,0.08103123447364283
RandForest,9,0.07794068822285624
RandForest,10,0.07746430075856832
GenRandForest,1,0.1953419323890857
GenRandForest,2,0.19507679615193496
GenRandForest,3,0.07476715220979922
GenRandForest,4,0.07694163151331686
GenRandForest,5,0.07807596317980833
GenRandForest,6,0.07582893310150947
GenRandForest,7,0.07414173390247965
GenRandForest,8,0.07724279569753775
GenRandForest,9,0.07618743700591918
GenRandForest,10,0.07639562484861023
"StochOptForest
(oracle)",1,0.23507518808865682
"StochOptForest
(oracle)",2,0.1069486884719195
"StochOptForest
(oracle)",3,0.07969762495200153
"StochOptForest
(oracle)",4,0.0807801901800168
"StochOptForest
(oracle)",5,0.08287676098888702
"StochOptForest
(oracle)",6,0.08406969822085818
"StochOptForest
(oracle)",7,0.08439041734492453
"StochOptForest
(oracle)",8,0.08108021975130959
"StochOptForest
(oracle)",9,0.08324577188162768
"StochOptForest
(oracle)",10,0.08183544011979904
